Batch,Trade,Time
82,1133,83
82,170,65
82,1995,51
82,1748,39
82,1711,35
82,996,25
82,1395,21
82,653,19
82,1258,18
82,475,12
82,457,9
82,74,6
82,1334,6
82,300,4
82,826,3
82,1378,2
,Total Calculation Time,398

83,1210,83
83,206,65
83,3,50
83,1512,40
83,1758,35
83,1008,25
83,1414,21
83,669,19
83,1305,18
83,481,12
83,480,9
83,87,6
83,1338,6
83,301,4
83,872,3
83,1388,2
,Total Calculation Time,398

84,1476,83
84,266,65
84,109,50
84,1648,40
84,1803,35
84,1016,25
84,1415,21
84,694,19
84,1325,18
84,496,12
84,483,9
84,103,6
84,1347,6
84,317,4
84,879,3
84,1389,2
,Total Calculation Time,398

85,1774,83
85,789,65
85,411,50
85,1663,40
85,1891,35
85,1118,25
85,1491,21
85,721,19
85,1346,18
85,531,12
85,484,9
85,105,6
85,1362,6
85,326,4
85,904,3
85,1398,2
,Total Calculation Time,398

86,161,82
86,572,67
86,560,49
86,1731,40
86,1981,35
86,1145,25
86,1550,21
86,740,19
86,1412,18
86,551,12
86,514,9
86,111,6
86,1375,6
86,349,4
86,912,3
86,1410,2
,Total Calculation Time,398

87,1717,82
87,810,67
87,641,49
87,1817,40
87,476,34
87,1527,26
87,1605,21
87,759,19
87,1417,18
87,578,12
87,542,9
87,125,6
87,1376,6
87,362,4
87,917,3
87,1432,2
,Total Calculation Time,398

88,1776,79
88,415,67
88,1924,51
88,156,41
88,497,34
88,1531,26
88,1629,21
88,828,19
88,1468,18
88,588,12
88,555,9
88,128,6
88,1437,6
88,384,4
88,921,3
88,1463,2
,Total Calculation Time,398

89,878,78
89,341,67
89,1418,52
89,204,41
89,512,34
89,1545,26
89,1656,21
89,861,19
89,1551,18
89,651,12
89,584,9
89,130,6
89,1441,6
89,386,4
89,928,3
89,1480,2
,Total Calculation Time,398

90,1754,78
90,364,67
90,224,51
90,1257,43
90,1250,32
90,1740,27
90,1715,21
90,865,19
90,1577,18
90,690,12
90,603,9
90,142,6
90,1446,6
90,445,4
90,930,3
90,1485,2
,Total Calculation Time,398

91,49,77
91,1223,68
91,524,51
91,1365,43
91,1625,32
91,1826,27
91,1785,21
91,957,19
91,1596,18
91,719,12
91,632,9
91,147,6
91,1461,6
91,448,4
91,984,3
91,1488,2
,Total Calculation Time,398

92,1028,77
92,1493,68
92,1158,51
92,1428,43
92,1635,32
92,1968,27
92,1789,21
92,975,19
92,1611,18
92,764,12
92,658,9
92,173,6
92,1462,6
92,458,4
92,995,3
92,1514,2
,Total Calculation Time,398

93,1061,77
93,1659,68
93,1449,51
93,1455,43
93,1658,32
93,83,26
93,5,23
93,1887,19
93,1097,15
93,309,13
93,1730,12
93,905,6
93,1254,5
93,1943,4
93,482,2
93,1520,2
,Total Calculation Time,398

94,1202,77
94,1712,68
94,1565,51
94,1483,43
94,1707,32
94,289,26
94,38,23
94,1907,19
94,1291,15
94,323,13
94,1738,12
94,916,6
94,1328,5
94,1950,4
94,507,2
94,1525,2
,Total Calculation Time,398

95,1348,77
95,179,67
95,1492,53
